PS G:\Projects\DeepLearning\EX1(Leaf_disease-classification)> & C:/Users/fadi/AppData/Local/Programs/Python/Python310/python.exe "g:/Projects/DeepLearning/EX1(Leaf_disease-classification)/cassava_leaf_disease_classification_on_balanced_test_set.py"
True
current device:  0
device:  cuda:0
         image_id  label
0  1000015157.jpg      0
1  1000201771.jpg      3
2   100042118.jpg      1
3  1000723321.jpg      1
4  1000812911.jpg      3
Train set for CV: 19257, Hold-out test set: 2140
Starting k-fold cross-validation...

Fold 1/5...
Fold 1 | Epoch 1: train_acc=57.64%, train_loss=1.2443, val_acc=61.42%, val_loss=1.1206
Fold 1 | Epoch 2: train_acc=61.79%, train_loss=1.0767, val_acc=62.31%, val_loss=1.0365
Fold 1 | Epoch 3: train_acc=62.95%, train_loss=1.0038, val_acc=64.02%, val_loss=0.9834
Fold 1 | Epoch 4: train_acc=64.30%, train_loss=0.9543, val_acc=66.28%, val_loss=0.9393
Fold 1 | Epoch 5: train_acc=65.60%, train_loss=0.9157, val_acc=67.06%, val_loss=0.9068
Fold 1 | Epoch 6: train_acc=66.84%, train_loss=0.8810, val_acc=68.17%, val_loss=0.8809
Fold 1 | Epoch 7: train_acc=67.89%, train_loss=0.8533, val_acc=69.13%, val_loss=0.8591
Fold 1 | Epoch 8: train_acc=68.89%, train_loss=0.8284, val_acc=69.70%, val_loss=0.8397
Fold 1 | Epoch 9: train_acc=69.56%, train_loss=0.8074, val_acc=70.28%, val_loss=0.8238
Fold 1 | Epoch 10: train_acc=70.06%, train_loss=0.7902, val_acc=70.95%, val_loss=0.8094
Fold 1 | Epoch 11: train_acc=71.09%, train_loss=0.7724, val_acc=71.75%, val_loss=0.7962
Fold 1 | Epoch 12: train_acc=71.58%, train_loss=0.7563, val_acc=72.04%, val_loss=0.7861
Fold 1 | Epoch 13: train_acc=72.11%, train_loss=0.7424, val_acc=72.77%, val_loss=0.7736
Fold 1 | Epoch 14: train_acc=73.05%, train_loss=0.7310, val_acc=73.08%, val_loss=0.7666
